RecordType;Schema;Name;Type;Id;LoC;References;Dependencies;Abstraction;Instability
1;TKMTS;CO_POINTLOCATIONGROUP_PLGCHECK;TRIGGER;28845782;74;0;0;0.013513513513513514;0
1;TKMTS;CO_POINTLOCATIONGROUP_PLG_TRC;TRIGGER;28845783;82;0;0;0.012195121951219513;0
1;TKMTS;F_GET_OIGPS;FUNCTION;28846049;29;0;0;0.034482758620689655;0
1;TKMTS;CO_SUBALLOTMENTQTY2_TRC;TRIGGER;30027957;84;0;0;0.011904761904761904;0
1;TKMTS;TR_CO_SUBALLOTMENTQTY_CTRY2;TRIGGER;30027959;34;0;3;0.029411764705882353;1.0
1;TKMTS;CO_SUBALLOTMENTQTYSTAHIS2_TRC;TRIGGER;30027963;82;0;0;0.012195121951219513;0
1;TKMTS;CO_STAYCONDSTATUSHIS_TRC;TRIGGER;30320067;71;0;0;0.014084507042253521;0
1;TKMTS;CO_STOCKUNITSBSERPRICELINE_TRC;TRIGGER;30320085;69;0;0;0.014492753623188406;0
1;TKMTS;F_GETMD5CHECKSUM;FUNCTION;28946145;9;0;0;0.1111111111111111;0
1;TKMTS;OD_CLIENT_EBPREPAYSETTING_TRC;TRIGGER;28986590;82;0;0;0.012195121951219513;0
1;TKMTS;TR_AU_OD_CLIENT_LOG;TRIGGER;28986690;136;0;0;0.007352941176470588;0
1;TKMTS;OD_CLIENT_MARKETGROUP_TRC;TRIGGER;28986699;82;0;0;0.012195121951219513;0
1;TKMTS;TR_AIU_OD_CLIENT_MARKETGROUP;TRIGGER;28986701;72;0;3;0.013888888888888888;1.0
1;TKMTS;TR_AIU_MB_ITEM_STATUS;TRIGGER;28986702;38;0;0;0.02631578947368421;0
1;TKMTS;CO_PRICELINE_CONTRACTLIST_TRC;TRIGGER;28971866;76;0;0;0.013157894736842105;0
1;TKMTS;CO_PRICELINE_PROVIDERLIST_TRC;TRIGGER;28971871;76;0;0;0.013157894736842105;0
1;TKMTS;CO_PRICELINE_STOCKLIST_TRC;TRIGGER;28971877;76;0;0;0.013157894736842105;0
1;TKMTS;MVW_STATEMENT_ROOMS;MATERIALIZED VIEW;29001686;0;0;0;0;0
1;TKMTS;OD_TRAVELAGENCYSTOCK_TRC;TRIGGER;29001693;76;0;0;0.013157894736842105;0
1;TKMTS;TR_BIU_OD_TRAVELAGENCY_AGENT;TRIGGER;29001842;58;0;0;0.017241379310344827;0
1;TKMTS;GRP_FLEET_ENTRANCE_TRC;TRIGGER;29048307;66;0;0;0.015151515151515152;0
1;TKMTS;GRP_FLEET_COST_TRC;TRIGGER;29048313;66;0;0;0.015151515151515152;0
1;TKMTS;GRP_FLEET_FUEL_COST_TRC;TRIGGER;29048318;66;0;0;0.015151515151515152;0
1;TKMTS;GRP_FLEET_FUEL_RECEIPT_TRC;TRIGGER;29048323;66;0;0;0.015151515151515152;0
1;TKMTS;MVW_STATEMENT_PICTURES;MATERIALIZED VIEW;29048330;0;0;0;0;0
1;TKMTS;BO_GUESTCOMPLAINT_TRC;TRIGGER;29048332;82;0;0;0.012195121951219513;0
1;TKMTS;TR_BIU_GUESTCOMPLAINT_USERID;TRIGGER;29048333;28;0;0;0.03571428571428571;0
1;TKMTS;F_GET_ACCUMULATE;FUNCTION;29061447;25;0;0;0.04;0
1;TKMTS;PAC_ESB_EPC;PACKAGE BODY;29045126;3050;0;6;0.0003278688524590164;1.0
1;TKMTS;PAC_ESB_EPC;PACKAGE;29045125;3050;6;0;0.0003278688524590164;0.0
1;TKMTS;BO_GUESTCOMPLAINTCONCEPT_TRC;TRIGGER;29048346;82;0;0;0.012195121951219513;0
1;TKMTS;BO_GUESTCOMPLAINTLOGACTION_TRC;TRIGGER;29048355;82;0;0;0.012195121951219513;0
1;TKMTS;P_RESTART_EPC_SERVER;PROCEDURE;29042740;56;0;0;0.017857142857142856;0
1;TKMTS;STRIPHTML;FUNCTION;29049980;5;0;0;0.2;0
1;TKMTS;P_BI_ALLOTMENTCHANGESLOG;PROCEDURE;29114718;137;0;1;0.0072992700729927005;1.0
